image_path,label
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_12.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_16.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_15.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_45.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_38.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_24.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/quasars/nasa_quasar_5.jpg,2
/home/rsalas/Documentos/NASA_TRAINING/training/data/quasars/nasa_quasar_1.jpg,2
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_38.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_15.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_36.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_43.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_33.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_5.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/quasars/nasa_quasar_7.jpg,2
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_49.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/stars/nasa_star_1.jpg,0
/home/rsalas/Documentos/NASA_TRAINING/training/data/stars/nasa_star_5.jpg,0
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_46.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_19.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/quasars/nasa_quasar_14.jpg,2
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_49.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_43.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_35.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_35.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_41.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_4.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_20.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_13.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_1.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_22.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_39.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_8.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_8.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/stars/nasa_star_4.jpg,0
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_13.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/quasars/nasa_quasar_44.jpg,2
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_24.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_18.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_25.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_47.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_34.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_40.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_27.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_8.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_10.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_7.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_12.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_22.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_15.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_33.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_41.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_25.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_39.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_19.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_28.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_46.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_6.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_11.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_32.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_37.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_28.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_25.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_39.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_21.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_26.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_47.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_45.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_9.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_38.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_2.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_16.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_3.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_31.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_33.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/galaxies/nasa_galaxy_18.jpg,1
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_0.jpg,3
/home/rsalas/Documentos/NASA_TRAINING/training/data/planets/nasa_planet_30.jpg,4
/home/rsalas/Documentos/NASA_TRAINING/training/data/quasars/nasa_quasar_17.jpg,2
/home/rsalas/Documentos/NASA_TRAINING/training/data/nebulae/nasa_nebula_6.jpg,3
